Note:
Results of the csv export.
If more than one entry per data field is available for a strain, the export contains multiple lines per strain.
At the end of the line you find the reference for each exported entry.


Export with Textmined data

strains.ID_strains;strains.Culture collection no.;strains.Species;strains.Strain Designation;strains_tax_PNU.Species (PNU);strains_tax_PNU.ID_reference

"153272";"CCUG 48981";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153273";"CCUG 48982";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153274";"CCUG 48983";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153275";"CCUG 48984";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153276";"CCUG 48985";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153277";"CCUG 48986";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153278";"CCUG 48987";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153279";"CCUG 48988";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153280";"CCUG 48989";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153381";"CCUG 49392 A";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153382";"CCUG 49392 B";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153383";"CCUG 49393 A";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153384";"CCUG 49393 B";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153385";"CCUG 49406 A";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153386";"CCUG 49406 B";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"153387";"CCUG 49406 C";"Paenibacillus larvae";"";"Paenibacillus larvae";"20215";

"155536";"CCUG 58032";"Paenibacillus lautus";"";"Paenibacillus lautus";"20215";

"24280";"DSM 28340, CECT 7358, KCTC 13222";"Paenibacillus pectinilyticus";"RCB-08";"Paenibacillus pectinilyticus";"20215";

"11508";"DSM 22700, ATCC 14706, CCUG 28881, CIP 106066, NCCB 75017, NRRL B-2309, KCTC 3806";"Paenibacillus popilliae";"";"Paenibacillus popilliae";"20215";

"152375";"CCUG 46573";"Paenibacillus sp.";"";"Paenibacillus sp.";"20215";

"152634";"CCUG 47241";"Paenibacillus sp.";"";"Paenibacillus sp.";"20215";

"152768";"CCUG 47579";"Paenibacillus sp.";"";"Paenibacillus sp.";"20215";

"153959";"CCUG 51773";"Paenibacillus sp.";"";"Paenibacillus sp.";"20215";

"155006";"CCUG 56049";"Paenibacillus sp.";"";"Paenibacillus sp.";"20215";

"155018";"CCUG 56119";"Paenibacillus sp.";"";"Paenibacillus sp.";"20215";

"155144";"CCUG 56582";"Paenibacillus sp.";"";"Paenibacillus sp.";"20215";

"155452";"CCUG 57802";"Paenibacillus sp.";"";"Paenibacillus sp.";"20215";

"155716";"CCUG 59125";"Paenibacillus sp.";"";"Paenibacillus sp.";"20215";

"157198";"CCUG 70456";"Paenibacillus sp.";"";"Paenibacillus sp.";"20215";

"152953";"CCUG 48121 A";"Paenibacillus sp.";"";"Paenibacillus sp.";"20215";

"154862";"CCUG 55452";"Paenibacillus urinalis";"";"Paenibacillus urinalis";"20215";

"24778";"DSM 26340, VKM B-2878";"Paludibaculum fermentans";"P105";"Paludibaculum fermentans";"20215";

"153716";"CCUG 50724";"Paracoccus sp.";"";"Paracoccus sp.";"20215";

"156680";"CCUG 64097";"Paracoccus yeei";"";"Paracoccus yeei";"20215";

"157131";"CCUG 69643";"Paracoccus yeei";"";"Paracoccus yeei";"20215";

"147598";"CCUG 33859";"Parvimonas micra";"";"Parvimonas micra";"20215";

"147670";"CCUG 33981";"Pasteurella 'felis'";"";"";"";

"147671";"CCUG 33982";"Pasteurella 'felis'";"";"";"";

"145213";"CCUG 27905";"Pasteurella aerogenes";"";"Pasteurella aerogenes";"20215";

"145240";"CCUG 27934";"Pasteurella aerogenes";"";"Pasteurella aerogenes";"20215";

"144895";"CCUG 26994, MCCM 00603";"Pasteurella bettyae";"";"";"";

"152189";"CCUG 46013";"Pasteurella bettyae";"";"";"";

"154838";"CCUG 55370";"Pasteurella bettyae";"";"";"";

"156708";"CCUG 64273";"Pasteurella bettyae";"";"";"";

"11744";"DSM 22973, ATCC 49197, CCUG 28833, CIP 103915";"Pasteurella caballi";"83851";"Pasteurella caballi";"20215";

"11730";"DSM 22968, ATCC 43326, CCUG 12400, CIP 103294, NCTC 11621";"Pasteurella canis";"Smith 182";"Pasteurella canis";"20215";

"141332";"CCUG 895";"Pasteurella canis";"";"Pasteurella canis";"20215";

"152283";"CCUG 46325";"Pasteurella canis";"";"Pasteurella canis";"20215";

"152323";"CCUG 46441";"Pasteurella canis";"";"Pasteurella canis";"20215";

"152838";"CCUG 47747";"Pasteurella canis";"";"Pasteurella canis";"20215";

"153301";"CCUG 49049";"Pasteurella canis";"";"Pasteurella canis";"20215";

"153691";"CCUG 50661";"Pasteurella canis";"";"Pasteurella canis";"20215";

"153853";"CCUG 51373";"Pasteurella canis";"";"Pasteurella canis";"20215";

"154394";"CCUG 53391";"Pasteurella canis";"";"Pasteurella canis";"20215";

"156793";"CCUG 65250";"Pasteurella canis";"";"Pasteurella canis";"20215";

"142445";"CCUG 12532";"Pasteurella dagmatis";"";"Pasteurella dagmatis";"20215";

"144893";"CCUG 26991, MCCM 00702";"Pasteurella dagmatis";"";"Pasteurella dagmatis";"20215";

"147373";"CCUG 33474";"Pasteurella dagmatis";"";"Pasteurella dagmatis";"20215";

"150940";"CCUG 42805";"Pasteurella dagmatis";"";"Pasteurella dagmatis";"20215";

"153708";"CCUG 50710";"Pasteurella dagmatis";"";"Pasteurella dagmatis";"20215";

"156067";"CCUG 60255";"Pasteurella dagmatis";"";"Pasteurella dagmatis";"20215";

"144625";"CCUG 25978";"Pasteurella multocida";"";"Pasteurella multocida";"20215";

"144626";"CCUG 25979";"Pasteurella multocida";"";"Pasteurella multocida";"20215";

"144627";"CCUG 25980";"Pasteurella multocida";"";"Pasteurella multocida";"20215";

"144633";"CCUG 25986";"Pasteurella multocida";"";"Pasteurella multocida";"20215";

"138774";"CIP 103826, NCTC 12178, CCUG 26985, MCCM 00546";"Pasteurella multocida";"";"Pasteurella multocida";"20215";

"135890";"CIP 103825, NCTC 12177, CCUG 26990, MCCM 00523";"Pasteurella multocida";"";"Pasteurella multocida";"20215";

"149195";"CCUG 37250";"Pasteurella multocida";"";"Pasteurella multocida";"20215";

"152462";"CCUG 46857";"Pasteurella multocida";"";"Pasteurella multocida";"20215";

"154253";"CCUG 52890";"Pasteurella multocida";"";"Pasteurella multocida";"20215";

"152711";"CCUG 47442";"Pasteurella multocida subsp. gallicida";"";"Pasteurella multocida subsp. gallicida";"20215";

"147408";"CCUG 33541";"Pasteurella multocida subsp. septica";"";"Pasteurella multocida subsp. septica";"20215";

"148031";"CCUG 34711";"Pasteurella multocida subsp. septica";"";"Pasteurella multocida subsp. septica";"20215";

"149914";"CCUG 38669";"Pasteurella multocida subsp. septica";"";"Pasteurella multocida subsp. septica";"20215";

"154068";"CCUG 52226";"Pasteurella multocida subsp. septica";"";"Pasteurella multocida subsp. septica";"20215";

"156306";"CCUG 61113";"Pasteurella multocida subsp. septica";"";"Pasteurella multocida subsp. septica";"20215";

"11745";"DSM 24204, NCIMB 13593, NCTC 13204";"Pasteurella skyensis";"95A1";"Pasteurella skyensis";"20215";

"147994";"CCUG 34637";"Pasteurella sp.";"";"Pasteurella sp.";"20215";

"152276";"CCUG 46306";"Pasteurella sp.";"";"Pasteurella sp.";"20215";

"152386";"CCUG 46611";"Pasteurella sp.";"";"Pasteurella sp.";"20215";

"148922";"CCUG 36589";"Pasteurella stomatis";"";"Pasteurella stomatis";"20215";

"150822";"CCUG 42468";"Pasteurella stomatis";"";"Pasteurella stomatis";"20215";

"152835";"CCUG 47744";"Pasteurella stomatis";"";"Pasteurella stomatis";"20215";

"152836";"CCUG 47745";"Pasteurella stomatis";"";"Pasteurella stomatis";"20215";

"152837";"CCUG 47746";"Pasteurella stomatis";"";"Pasteurella stomatis";"20215";

"153300";"CCUG 49048";"Pasteurella stomatis";"";"Pasteurella stomatis";"20215";

"153709";"CCUG 50711";"Pasteurella stomatis";"";"Pasteurella stomatis";"20215";

"154727";"CCUG 54997";"Pasteurella stomatis";"";"Pasteurella stomatis";"20215";

"154873";"CCUG 55511";"Pasteurella stomatis";"";"Pasteurella stomatis";"20215";

"152737";"CCUG 47515 A";"Pasteurella stomatis";"";"Pasteurella stomatis";"20215";

"135134";"CIP 102179, CCUG 48850";"Pasteurella stomatis";"";"Pasteurella stomatis";"20215";

"6381";"DSM 20284, KCTC 13734, LMG 11384, CCUG 32235, NCIMB 12174, CIP 103408";"Pediococcus acidilactici";"B213c";"Pediococcus acidilactici";"20215";

"6379";"DSM 19927, JCM 15055, LMG 27029";"Pediococcus acidilactici";"NGRI 0510Q";"Pediococcus acidilactici";"20215";

"151898";"CCUG 45146";"Pediococcus acidilactici";"";"Pediococcus acidilactici";"20215";

"152315";"CCUG 46409";"Pediococcus acidilactici";"";"Pediococcus acidilactici";"20215";

"153422";"CCUG 49523";"Pediococcus acidilactici";"";"Pediococcus acidilactici";"20215";

"155338";"CCUG 57368";"Pediococcus acidilactici";"";"Pediococcus acidilactici";"20215";

"155826";"CCUG 59409";"Pediococcus acidilactici";"";"Pediococcus acidilactici";"20215";

"6399";"DSM 23026, CCUG 54535, CRL 776, LMG 23999";"Pediococcus argentinicus";"";"Pediococcus argentinicus";"20215";

"6396";"DSM 17757, AS 1.3787, LMG 22956";"Pediococcus cellicola";"Z-8";"Pediococcus cellicola";"20215";

"6384";"DSM 20331, ATCC 29358, NCDO 1832, WDCM 00022, CCUG 32251, LMG 11484, NCIMB 12010, CIP 102264, CCM 3453, JCM 5886";"Pediococcus damnosus";"Be1";"Pediococcus damnosus";"20215";

"6382";"DSM 20289";"Pediococcus damnosus";"144a";"Pediococcus damnosus";"20215";

"6383";"DSM 20291";"Pediococcus damnosus";"38b";"Pediococcus damnosus";"20215";

"6398";"DSM 22301, LMG 23957";"Pediococcus ethanolidurans";"AS 1.3889, Z-9";"Pediococcus ethanolidurans";"20215";

"6387";"CCUG 28439, CCM 3450, DSM 20332, ATCC 19371, NCDO 1634, NCIB 9447";"Pediococcus parvulus";"S182";"Pediococcus parvulus";"20215";

"6393";"DSM 20336, ATCC 33316, NCDO 990, WDCM 00158, CCUG 32205";"Pediococcus pentosaceus";"";"Pediococcus pentosaceus";"20215";

"153377";"CCUG 49383";"Pediococcus pentosaceus";"";"Pediococcus pentosaceus";"20215";

"6397";"DSM 18001, CCUG 51290, LMG 23082, CIP 109142";"Pediococcus stilesii";"FAIR-E-180";"Pediococcus stilesii";"20215";

"150452";"CCUG 39968, LMG 15725";"Pelistega europaea";"";"Pelistega europaea";"20215";

"154179";"CCUG 52671";"Pelomonas saccharophila";"";"Pelomonas saccharophila";"20215";

"151462";"CCUG 44107 A";"Peptoniphilus asaccharolyticus";"";"Peptoniphilus asaccharolyticus";"20215";

"23827";"DSM 27630, C01, KCTC 13150, PCU 316, TISTR 1958";"Pisciglobus halotolerans";"";"Pisciglobus halotolerans";"20215";

"156953";"CCUG 67316";"Planomicrobium okeanokoites";"";"Planomicrobium okeanokoites";"20215";

"12658";"DSM 16859, CIP 105414, IAM 14535, NRIC 0247, CCUG 48885, ATCC 700429";"Propionibacterium cyclohexanicum";"";"Propionibacterium cyclohexanicum";"20215";

"12642";"CCUG 7433, DSM 20271, ATCC 6207, CCM 1857, NCDO 564, NCIB 5959, NCTC 10470";"Propionibacterium freudenreichii";"53-W (Hitchner No. 33)";"Propionibacterium freudenreichii";"20215";

"12660";"DSM 15597, JCM 11933, CCUG 53880";"Propionicimonas paludicola";"Wd";"Propionicimonas paludicola";"20215";

"12661";"DSM 15598";"Propionicimonas paludicola";"WF";"Propionicimonas paludicola";"20215";

"12662";"DSM 8251, ATCC 49929, CIP 110011, NCTC 11082, CCUG 33480, LMG 16732, JCM 13395";"Propioniferax innocua";"";"Propioniferax innocua";"20215";

"7477";"DSM 17449, IAM 14724, NBRC 15616, TISTR 1510, CCUG 50212, IFO 15616";"Pseudoclavibacter sp.";"A59836";"Pseudoclavibacter sp.";"20215";

"155501";"CCUG 57899 B";"Pseudoclavibacter sp.";"";"Pseudoclavibacter sp.";"20215";

"145638";"CCUG 29118";"Pseudoglutamicibacter cumminsii";"";"Pseudoglutamicibacter cumminsii";"20215";

"153217";"CCUG 48780";"Pseudoglutamicibacter cumminsii";"";"Pseudoglutamicibacter cumminsii";"20215";

"155370";"CCUG 57490";"Pseudoglutamicibacter cumminsii";"";"Pseudoglutamicibacter cumminsii";"20215";

"151536";"CCUG 44254 A";"Pseudoglutamicibacter cumminsii";"";"Pseudoglutamicibacter cumminsii";"20215";

"154718";"CCUG 54962 B";"Pseudoglutamicibacter cumminsii";"";"Pseudoglutamicibacter cumminsii";"20215";

"152258";"CCUG 46231";"Pseudomonas aeruginosa";"";"Pseudomonas aeruginosa";"20215";

"13124";"DSM 17556, ATCC BAA 1049, JCM 12708, CCUG 53885, CIP 108866";"Pseudomonas azotifigens";"6H33b";"Pseudomonas azotifigens";"20215";

"155607";"CCUG 58356";"Pseudomonas koreensis";"";"Pseudomonas koreensis";"20215";

"156082";"CCUG 60300";"Pseudomonas lundensis";"";"Pseudomonas lundensis";"20215";

"155594";"CCUG 58289";"Pseudomonas stutzeri";"";"Pseudomonas stutzeri";"20215";

"12653";"DSM 43307, ATCC 14157, CIP 110010, CCUG 4939, LMG 16729, ATCC 13682";"Pseudopropionibacterium propionicum";"699";"Pseudopropionibacterium propionicum";"20215";

"12652";"DSM 43015, ATCC 29326";"Pseudopropionibacterium propionicum";"Fleischman, WVU 346";"Pseudopropionibacterium propionicum";"20215";

"154917";"CCUG 55694";"Pseudopropionibacterium propionicum";"";"Pseudopropionibacterium propionicum";"20215";

"156577";"CCUG 62944";"Pseudopropionibacterium propionicum";"";"Pseudopropionibacterium propionicum";"20215";

"17512";"CIP 109720, DSM 18855, CCUG 53828";"Pseudoxanthomonas spadix";"IMMIB AFH-5";"Pseudoxanthomonas spadix";"20215";

"155475";"CCUG 57827";"Psychrobacter faecalis";"";"Psychrobacter faecalis";"20215";

"155504";"CCUG 57906";"Psychrobacter faecalis";"";"Psychrobacter faecalis";"20215";

"153157";"CCUG 48598";"Psychrobacter immobilis";"";"Psychrobacter immobilis";"20215";

"153827";"CCUG 51295";"Psychrobacter immobilis";"";"Psychrobacter immobilis";"20215";

"154699";"CCUG 54876";"Psychrobacter immobilis";"";"Psychrobacter immobilis";"20215";

"152370";"CCUG 46548";"Psychrobacter phenylpyruvicus";"";"Psychrobacter phenylpyruvicus";"20215";

"152587";"CCUG 47152";"Psychrobacter phenylpyruvicus";"";"Psychrobacter phenylpyruvicus";"20215";

"153232";"CCUG 48831";"Psychrobacter phenylpyruvicus";"";"Psychrobacter phenylpyruvicus";"20215";

"154891";"CCUG 55560";"Psychrobacter phenylpyruvicus";"";"Psychrobacter phenylpyruvicus";"20215";

"153025";"CCUG 48341";"Psychrobacter sp.";"";"Psychrobacter sp.";"20215";

"154044";"CCUG 52122";"Psychrobacter sp.";"";"Psychrobacter sp.";"20215";

"156049";"CCUG 60220";"Psychrobacter sp.";"";"Psychrobacter sp.";"20215";

"156229";"CCUG 60811";"Psychrobacter sp.";"";"Psychrobacter sp.";"20215";

"133081";"DSM 102047, LMG 29369";"Psychromicrobium silvestre";"AK20-18";"Psychromicrobium silvestre";"20215";

"17881";"DSM 23428, CSUR P115";"Reyranella massiliensis";"521";"Reyranella massiliensis";"20215";

"17882";"DSM 23429, CSUR P117";"Reyranella massiliensis";"3B26";"Reyranella massiliensis";"20215";

"17883";"DSM 23430, CSUR P116";"Reyranella massiliensis";"S181";"Reyranella massiliensis";"20215";

"1801";"DSM 16996, VKM B-2361";"Rhodoblastus sphagnicola";"RS";"Rhodoblastus sphagnicola";"20215";

"153413";"CCUG 49507";"Rhodococcus corynebacterioides";"";"Rhodococcus corynebacterioides";"20215";

"154323";"CCUG 53084";"Rhodococcus corynebacterioides";"";"Rhodococcus corynebacterioides";"20215";

"155069";"CCUG 56373";"Rhodococcus corynebacterioides";"";"Rhodococcus corynebacterioides";"20215";

"156273";"CCUG 60987";"Rhodococcus corynebacterioides";"";"Rhodococcus corynebacterioides";"20215";

"10865";"DSM 43060, ATCC 11048, CCM 2595, NCIB 8147, NCTC 8036, CCUG 12167";"Rhodococcus erythropolis";"No 52";"Rhodococcus erythropolis";"20215";

"152657";"CCUG 47303";"Rhodococcus erythropolis";"";"Rhodococcus erythropolis";"20215";

"152741";"CCUG 47521";"Rhodococcus erythropolis";"";"Rhodococcus erythropolis";"20215";

"154681";"CCUG 54830";"Rhodococcus erythropolis";"";"Rhodococcus erythropolis";"20215";

"152269";"CCUG 46265";"Rhodococcus fascians";"";"Rhodococcus fascians";"20215";

"152981";"CCUG 48189";"Rhodococcus fascians";"";"Rhodococcus fascians";"20215";

"152324";"CCUG 46442";"Rhodococcus hoagii";"";"Rhodococcus hoagii";"20215";

"153177";"CCUG 48649";"Rhodococcus hoagii";"";"Rhodococcus hoagii";"20215";

"154560";"CCUG 54412";"Rhodococcus hoagii";"";"Rhodococcus hoagii";"20215";

"153564";"CCUG 50191 A";"Rhodococcus hoagii";"";"Rhodococcus hoagii";"20215";

"10927";"CCUG 51069, DSM 43338, IFO 15591, KCC A-0205, NBRC 15591";"Rhodococcus ruber";"M-1, N361";"Rhodococcus ruber";"20215";

"136331";"CIP 104640, CCUG 20988";"Rhodococcus ruber";"";"Rhodococcus ruber";"20215";

"157133";"CCUG 69687";"Rhodococcus sp.";"";"Rhodococcus sp.";"20215";

"13879";"DSM 23582, ATCC BAA 2115, JCM 16873";"Rhodoligotrophos appendicifer";"120-1";"Rhodoligotrophos appendicifer";"20215";

"5632";"DSM 15868, ATCC 11845, CCUG 14215, JCM 9532, LMG 11054, MCCM 00568, NCTC 11014";"Riemerella anatipestifer";"";"Riemerella anatipestifer";"20215";

"144458";"CCUG 25009";"Riemerella anatipestifer";"";"Riemerella anatipestifer";"20215";

"144460";"CCUG 25012";"Riemerella anatipestifer";"";"Riemerella anatipestifer";"20215";

"144465";"CCUG 25054, LMG 11060";"Riemerella anatipestifer";"";"Riemerella anatipestifer";"20215";

"144466";"CCUG 25055";"Riemerella anatipestifer";"";"Riemerella anatipestifer";"20215";

"5633";"DSM 16469, CIP 106288, LMG 11607, CCUG 47689";"Riemerella columbina";"Hinz x183-89, x183-89";"Riemerella columbina";"20215";

"5634";"DSM 24015, LMG 26094";"Riemerella columbipharyngis";"8151, RCP-8151";"Riemerella columbipharyngis";"20215";

"5635";"DSM 24016, LMG 26096";"Riemerella columbipharyngis";"8091, RCP-8091";"Riemerella columbipharyngis";"20215";

"140302";"DSM 103978, CCUG 69667";"Rodentibacter heidelbergensis";"996025094, Ac69";"Rodentibacter heidelbergensis";"20215";

"140305";"DSM 103979, CCUG 69669";"Rodentibacter mrazii";"Ppn418";"Rodentibacter mrazii";"20215";

"140610";"CCUG 69666, DSM 103994";"Rodentibacter myodis";"Ac151";"Rodentibacter myodis";"20215";

"144747";"CCUG 26450, MCCM 00004";"Rodentibacter pneumotropicus";"";"Rodentibacter pneumotropicus";"20215";

"144748";"CCUG 26451, MCCM 00003";"Rodentibacter pneumotropicus";"";"Rodentibacter pneumotropicus";"20215";

"144750";"CCUG 26453, MCCM 00252";"Rodentibacter pneumotropicus";"";"Rodentibacter pneumotropicus";"20215";

"148952";"CCUG 36632";"Rodentibacter pneumotropicus";"";"Rodentibacter pneumotropicus";"20215";

"152445";"CCUG 46803";"Rodentibacter pneumotropicus";"";"Rodentibacter pneumotropicus";"20215";

"152527";"CCUG 47007";"Rodentibacter pneumotropicus";"";"Rodentibacter pneumotropicus";"20215";

"152528";"CCUG 47008";"Rodentibacter pneumotropicus";"";"Rodentibacter pneumotropicus";"20215";

"140304";"DSM 103980, CCUG 17206";"Rodentibacter rarus";"2325/79, HPA 41";"Rodentibacter rarus";"20215";

"140301";"DSM 103977, CCUG 69665";"Rodentibacter ratti";"F75";"Rodentibacter ratti";"20215";

"145259";"CCUG 27999, CNCTC Papn 3/78";"Rodentibacter sp.";"";"Rodentibacter sp.";"20215";

"152347";"CCUG 46480";"Rodentibacter sp.";"";"Rodentibacter sp.";"20215";

"140303";"DSM 104075, CCUG 69668";"Rodentibacter trehalosifermentans";"H1987082031";"Rodentibacter trehalosifermentans";"20215";

"13756";"DSM 11466, CECT 7023, NCIMB 14015";"Roseisalinus antarcticus";"EL-88";"Roseisalinus antarcticus";"20215";

"152443";"CCUG 46801";"Roseomonas mucosa";"";"Roseomonas mucosa";"20215";

"154965";"CCUG 55887";"Roseomonas mucosa";"";"Roseomonas mucosa";"20215";

"156682";"CCUG 64115";"Roseomonas mucosa";"";"Roseomonas mucosa";"20215";

"154684";"CCUG 54834 A";"Roseomonas mucosa";"";"Roseomonas mucosa";"20215";

"7780";"CCUG 51932, JCM 11412, DSM 14556, GTC 867";"Rothia aeria";"A 1-17B";"Rothia aeria";"20215";

"153727";"CCUG 50760";"Rothia aeria";"";"Rothia aeria";"20215";

"7782";"DSM 15839, AS 4.1721, CCUG 47294, JCM 11375, KCTC 3798";"Rothia amarae";"J18";"Rothia amarae";"20215";

"152966";"CCUG 48145";"Rothia amarae";"";"Rothia amarae";"20215";

"154890";"CCUG 55552";"Rothia amarae";"";"Rothia amarae";"20215";

"7779";"DSM 43762, ATCC 17931, DSM 46363, IFO 12531, JCM 3067, KCC A-0067, NBRC 12531, CCUG 35437, CIP 81.83, NCTC 10917";"Rothia dentocariosa";"CDC X599";"Rothia dentocariosa";"20215";

"145454";"CCUG 28582";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"146267";"CCUG 30754";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"147410";"CCUG 33543";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"149661";"CCUG 38139";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"150128";"CCUG 39054";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"153179";"CCUG 48652, ATCC BAA 907";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"153237";"CCUG 48843";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"153488";"CCUG 49729";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"153570";"CCUG 50219";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"153766";"CCUG 50895";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"154483";"CCUG 53793";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"154915";"CCUG 55681";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"155471";"CCUG 57823";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"155890";"CCUG 59569";"Rothia dentocariosa";"";"Rothia dentocariosa";"20215";

"152714";"CCUG 47458";"Rothia kristinae";"";"Rothia kristinae";"20215";

"7777";"DSM 20746, ATCC 25296, CCM 2417, NCTC 10663, CCUG 20962, CIP 71.14, JCM 10910";"Rothia mucilaginosa";"5762/67";"Rothia mucilaginosa";"20215";

"145444";"CCUG 28566";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"146454";"CCUG 31188";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"148049";"CCUG 34730";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"149138";"CCUG 36920";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"149296";"CCUG 37443";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"152422";"CCUG 46756";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"152728";"CCUG 47492";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"153060";"CCUG 48398";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"153062";"CCUG 48402";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"153285";"CCUG 48997";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"154137";"CCUG 52532";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"154276";"CCUG 52952";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"154842";"CCUG 55378";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"154851";"CCUG 55400";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"155072";"CCUG 56385";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"154787";"CCUG 55182 A";"Rothia mucilaginosa";"";"Rothia mucilaginosa";"20215";

"7781";"DSM 15694, CCUG 35957, JCM 10909, CIP 106912";"Rothia nasimurium";"B905/96, SVA B 905/96";"Rothia nasimurium";"20215";

"152237";"CCUG 46188";"Rothia nasimurium";"";"Rothia nasimurium";"20215";

"152238";"CCUG 46189";"Rothia nasimurium";"";"Rothia nasimurium";"20215";

"152239";"CCUG 46190";"Rothia nasimurium";"";"Rothia nasimurium";"20215";

"152284";"CCUG 46326";"Rothia nasimurium";"";"Rothia nasimurium";"20215";

"152285";"CCUG 46327";"Rothia nasimurium";"";"Rothia nasimurium";"20215";

"152287";"CCUG 46338";"Rothia nasimurium";"";"Rothia nasimurium";"20215";

"152288";"CCUG 46342";"Rothia nasimurium";"";"Rothia nasimurium";"20215";

"152289";"CCUG 46343";"Rothia nasimurium";"";"Rothia nasimurium";"20215";

"152354";"CCUG 46515";"Rothia nasimurium";"";"Rothia nasimurium";"20215";

"152355";"CCUG 46516";"Rothia nasimurium";"";"Rothia nasimurium";"20215";

"152356";"CCUG 46517";"Rothia nasimurium";"";"Rothia nasimurium";"20215";

"153577";"CCUG 50265";"Rothia terrae";"";"Rothia terrae";"20215";

"154897";"CCUG 55579";"Rothia terrae";"";"Rothia terrae";"20215";

"24455";"DSM 45456, CCUG 60213";"Saccharothrix saharensis";"Sa152";"Saccharothrix saharensis";"20215";

"147912";"CCUG 34479";"Schaalia canis";"";"Schaalia canis";"20215";

"155403";"CCUG 57625";"Schaalia canis";"";"Schaalia canis";"20215";

"151879";"CCUG 45108";"Schaalia cardiffensis";"";"Schaalia cardiffensis";"20215";

"151880";"CCUG 45109";"Schaalia cardiffensis";"";"Schaalia cardiffensis";"20215";

"148017";"CCUG 34685";"Schaalia funkei";"";"Schaalia funkei";"20215";

"152300";"CCUG 46375";"Schaalia funkei";"";"Schaalia funkei";"20215";

"156434";"CCUG 61725";"Schaalia funkei";"";"Schaalia funkei";"20215";

"156435";"CCUG 61726";"Schaalia funkei";"";"Schaalia funkei";"20215";

"156436";"CCUG 61727";"Schaalia funkei";"";"Schaalia funkei";"20215";

"154492";"CCUG 53861 A";"Schaalia funkei";"";"Schaalia funkei";"20215";

"151986";"CCUG 45432";"Schaalia hyovaginalis";"";"Schaalia hyovaginalis";"20215";

"151987";"CCUG 45433";"Schaalia hyovaginalis";"";"Schaalia hyovaginalis";"20215";

"143550";"CCUG 20023";"Schaalia meyeri";"";"Schaalia meyeri";"20215";

"144200";"CCUG 23548";"Schaalia odontolytica";"";"Schaalia odontolytica";"20215";

