"tax_id","org_name","growth_tmp","ref_type","reference"
1765967,"acidihalobacter_ferrooxidans",35,"doi","doi.org/10.1186/s12866-018-1320-7"
160660,"acidihalobacter_prosperus",35,"doi","doi.org/10.1186/s12866-018-1320-7"
105851,"acidilobus_aceticus",80,"doi","doi.org/10.1186/s12866-018-1320-7"
242703,"acidilobus_saccharovorans",80,"doi","doi.org/10.1186/s12866-018-1320-7"
53635,"acidimicrobium_ferrooxidans",45,"doi","doi.org/10.1186/s12866-018-1320-7"
76588,"acidiphilium_acidophilum",28,"doi","doi.org/10.1186/s12866-018-1320-7"
33998,"acidiphilium_aminilyticum",37,"doi","doi.org/10.1186/s12866-018-1320-7"
33998,"acidiphilium_aminolytica",32,"doi","doi.org/10.1186/s12866-018-1320-7"
523,"acidiphilium_angustum",20,"doi","doi.org/10.1186/s12866-018-1320-7"
524,"acidiphilium_cryptum",31,"doi","doi.org/10.1186/s12866-018-1320-7"
525,"acidiphilium_facilis",20,"doi","doi.org/10.1186/s12866-018-1320-7"
62140,"acidiphilium_multivorum",30,"doi","doi.org/10.1186/s12866-018-1320-7"
33999,"acidiphilium_organovorum",37,"doi","doi.org/10.1186/s12866-018-1320-7"
526,"acidiphilium_rubrum",20,"doi","doi.org/10.1186/s12866-018-1320-7"
1560006,"acidipila_dinghuensis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
768535,"acidipila_rosea",30,"doi","doi.org/10.1186/s12866-018-1320-7"
507754,"acidiplasma_aeolicum",40,"doi","doi.org/10.1186/s12866-018-1320-7"
312540,"acidiplasma_cupricumulans",55,"doi","doi.org/10.1186/s12866-018-1320-7"
1748,"acidipropionibacterium_acidipropionici",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1749,"acidipropionibacterium_jensenii",34,"doi","doi.org/10.1186/s12866-018-1320-7"
118367,"acidipropionibacterium_microaerophilum",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1751,"acidipropionibacterium_thoenii",30,"doi","doi.org/10.1186/s12866-018-1320-7"
512383,"acidisoma_sibiricum",20,"doi","doi.org/10.1186/s12866-018-1320-7"
512382,"acidisoma_tundrae",20,"doi","doi.org/10.1186/s12866-018-1320-7"
50715,"acidisphaera_rubrifaciens",30,"doi","doi.org/10.1186/s12866-018-1320-7"
667306,"aciditerrimonas_ferrireducens",50,"doi","doi.org/10.1186/s12866-018-1320-7"
119978,"acidithiobacillus_albertensis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
33059,"acidithiobacillus_caldus",42,"doi","doi.org/10.1186/s12866-018-1320-7"
1232575,"acidithiobacillus_ferridurans",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1689834,"acidithiobacillus_ferriphilus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
