"org_name","tax_id","sporulation","gram_stain","metabolism","cell_shape","motility","ref_type","reference"
"Pseudoalteromonas haloplanktis",228,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Salmonella enterica",28901,"0","0","facultative","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Nitratireductor indicus",721133,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Mycoplasma bovis",28903,"0","0","facultative","coccus","no","doi","doi.org/10.1093/nar/gkw964"
"Brucella abortus",235,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Brucella ovis",236,"0","0",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Caminibacter mediatlanticus",291048,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Elizabethkingia meningoseptica",238,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Actinomyces neuii",33007,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Propionibacterium avidum",33010,"0","1",NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Propionibacterium granulosum",33011,"0",NA,NA,NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Propionimicrobium lymphophilum",33012,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Leisingera daeponensis",405746,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Flavobacterium subsaxonicum",426226,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Caulobacter vibrioides",155892,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Glomeribacter sp. 1016415",1286373,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bacteroides clarus",626929,"0",NA,"strictanaero","bacilli","no","doi","doi.org/10.1093/nar/gkw964"
"Terrimonas ferruginea",249,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Chryseobacterium gleum",250,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Bacteroides oleiciplenus",626931,"0","0","strictanaero",NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Ensifer sp. BR816",1057002,"0","0","strictaero","bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Psychroflexus gondwanensis",251,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
