"tax_id","org_name","isolation_source","metabolism","growth_tmp","ref_type","reference"
390842,"Lactobacillus parafarraginis","composting material of distilled shochu residue","Microaerophilic",28,"doi","doi.org/10.1128/AEM.01738-18"
152332,"Lactobacillus parakefiri","kefir grain","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
83526,"Lactobacillus paralimentarius","sourdough","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
60520,"Lactobacillus paraplantarum","beer contaminant","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
872327,"Lactobacillus pasteurii",NA,"Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
616990,"Lactobacillus paucivorans","yeast storage tank containing lager beer","Anaerobic",28,"doi","doi.org/10.1128/AEM.01738-18"
1589,"Lactobacillus pentosus",NA,"Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
100468,"Lactobacillus perolens","organe lemonade","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1457217,"Lactobacillus plajomi","fermented fish","Facultatively anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1590,"Lactobacillus plantarum","pickled cabbage","Aerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
271881,"Lactobacillus plantarum subsp. argentoratensis","fermented cassava roots (fufu)","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
449659,"Lactobacillus pobuzihii","pobuzih (fermented cummingcordia), cordia dichotoma","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
35787,"Lactobacillus pontis","rye sourdough","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1123687,"Lactobacillus porcinae","nem chua (fermented meat)","Microaerophilic",28,"doi","doi.org/10.1128/AEM.01738-18"
116089,"Lactobacillus psittaci","lung of parrot","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
481723,"Lactobacillus rapi","sunki, a japanese traditional pickle","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
238013,"Lactobacillus rennini","renning","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
1598,"Lactobacillus reuteri","intestine of adult","Aerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
47715,"Lactobacillus rhamnosus",NA,"Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
947835,"Lactobacillus rodentium","digestive tract of rodents","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
231049,"Lactobacillus rossiae","wheat sourdough","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
1623,"Lactobacillus ruminis","bovine rumen","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
228229,"Lactobacillus saerimneri","pig faeces","Aerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
214325,"Lactobacillus sakei subsp. carnosus","fermented meat product","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
214326,"Lactobacillus sakei subsp. sakei","""moto"" starter of sake","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1624,"Lactobacillus salivarius","saliva","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
1625,"Lactobacillus sanfranciscensis","sourdough","Anaerobic",28,"doi","doi.org/10.1128/AEM.01738-18"
931533,"Lactobacillus saniviri","faeces of a japanese healthy adult male","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
259059,"Lactobacillus satsumensis","shochu mash","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
396268,"Lactobacillus secaliphilus","sourdough","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
81857,"Lactobacillus selangorensis","chili bo","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
