"tax_id","org_name","metabolism","ref_type","reference"
219301,"Brachybacterium muris","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1891286,"Brachybacterium sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1936292,"Brachymonas sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
124225,"Brackiella oedipodis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
54911,"Brevibacillus choshinensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
278990,"Brevibacillus levickii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
33942,"Brevibacillus thermoruber","microaerophilic","doi","doi.org/10.1093/nar/gky879"
33889,"Brevibacterium casei","microaerophilic","doi","doi.org/10.1093/nar/gky879"
199591,"Brevibacterium luteolum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
506594,"Brevibacterium pityocampae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
479117,"Brevibacterium ravenspurgense","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1701,"Brevibacterium sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
293,"Brevundimonas diminuta","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1871086,"Brevundimonas sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
41276,"Brevundimonas vesicularis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
349934,"Brooklawnia cerclae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
52132,"Brucella sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
95486,"Burkholderia cenocepacia","microaerophilic","doi","doi.org/10.1093/nar/gky879"
28095,"Burkholderia gladioli","microaerophilic","doi","doi.org/10.1093/nar/gky879"
87883,"Burkholderia multivorans","microaerophilic","doi","doi.org/10.1093/nar/gky879"
522485,"Campylobacter avium","microaerophilic","doi","doi.org/10.1093/nar/gky879"
449520,"Campylobacter canadensis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
195,"Campylobacter coli","microaerophilic","doi","doi.org/10.1093/nar/gky879"
199,"Campylobacter concisus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
374106,"Campylobacter cuniculorum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
200,"Campylobacter curvus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
196,"Campylobacter fetus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
32019,"Campylobacter fetus subsp. fetus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
32020,"Campylobacter fetus subsp. venerealis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1780362,"Campylobacter geochelonis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
28898,"Campylobacter helveticus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
198,"Campylobacter hyointestinalis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
91352,"Campylobacter hyointestinalis subsp. hyointestinalis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
91353,"Campylobacter hyointestinalis subsp. lawsonii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1244531,"Campylobacter iguaniorum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
260714,"Campylobacter insulaenigrae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
197,"Campylobacter jejuni","microaerophilic","doi","doi.org/10.1093/nar/gky879"
866565,"Polaromonas cryoconiti","microaerophilic","doi","doi.org/10.1093/nar/gky879"
32021,"Campylobacter jejuni subsp. doylei","microaerophilic","doi","doi.org/10.1093/nar/gky879"
32022,"Campylobacter jejuni subsp. jejuni","microaerophilic","doi","doi.org/10.1093/nar/gky879"
