isolate.code,name,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,bv,bv.choice
455,Skeletonema marinoi–dohrnii complex strain FDK035,,,FDK035,,marinoi-dohrnii,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
456,Skeletonema marinoi–dohrnii complex strain FDK039,,,FDK039,,marinoi-dohrnii,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
457,Skeletonema japonicum strain FDK154,,,FDK154,,japonicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
458,Skeletonema japonicum strain FDK157,,,FDK157,,japonicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
459,Skeletonema japonicum strain FDK158,,,FDK158,,japonicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
460,Skeletonema japonicum strain FDK159,,,FDK159,,japonicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
461,Skeletonema japonicum strain FDK161,,,FDK161,,japonicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
462,Skeletonema tropicum strain FDK199,,,FDK199,,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
463,Skeletonema tropicum strain FDK202,,,FDK202,,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
464,Skeletonema tropicum strain FDK204,,,FDK204,,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
465,Skeletonema tropicum strain FDK205,,,FDK205,,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
466,Skeletonema tropicum strain FDK207,,,FDK207,,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
467,Skeletonema menzelii strain FDK221,,,FDK221,,menzelii,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
468,Skeletonema menzelii strain DM08080630,,,DM08080630,,menzelii,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
469,Skeletonema menzelii strain DM08080730,,,DM08080730,,menzelii,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
470,Skeletonema menzelii strain FDK222,,,FDK222,,menzelii,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
471,Skeletonema ardens strain FDK003,,,FDK003,,ardens,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
472,Skeletonema ardens strain FDK004,,,FDK004,,ardens,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
473,Skeletonema ardens strain FDK005,,,FDK005,,ardens,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
474,Skeletonema ardens strain FDK006,,,FDK006,,ardens,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
475,Skeletonema ardens strain FDK007,,,FDK007,,ardens,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.42023403,3
476,Alexandrium catenella strain ACC02,,,ACC02,,catenella,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,3.67507933,1
477,Phaeodactylum tricornutum strain CCMP633,Nitzschia closterium forma minutissima,,CCMP633,,tricornutum,Phaeodactylum,Phaeodactylaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,1.627660367,1
478,Anabaena cylindrica strain PCC 7122,,,,,cylindrica,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.477121255,1
479,Aphanizomenon gracile,,,,,gracile,Aphanizomenon,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.824714867,3
480,Cylindrospermopsis raciborskii strain LETC CIRF-01,,,LETC CIRF-01,,raciborskii,Cylindrospermopsis,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.560880567,1
481,Microcystis aeruginosa strain PCC 7941,,,PCC 7941,,aeruginosa,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.484755387,1
482,Microcystis aeruginosa strain NIVA-CYA 140,,,NIVA-CYA 140,,aeruginosa,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.484755387,1
483,Planktothrix agardhii strain NIVA-CYA 116,,,NIVA-CYA 116,,agardhii,Planktothrix,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.5607547,1
484,Planktothrix agardhii strain NIVA-CYA 126,,,NIVA-CYA 126,,agardhii,Planktothrix,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.5607547,1
485,Monoraphidium griffithii strain NIVA-CHL8,Ankistrodesmus falcatus,,NIVA-CHL8,,griffithii,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.054626787,1
486,Chlamydomonas reinhardtii strain NIVA-CHL13,,,NIVA-CHL13,,reinhardtii,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.191245447,3
488,Monoraphidium minutum,Selenastrum minutum,,,,minutum,Monoraphidium,Ankistrodesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1.322219295,1
489,Acutodesmus acuminatus strain UTEX 415,Scenedesmus acuminatus ,,UTEX 415,,acuminatus,Acutodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.679323264,2
490,Desmodesmus maximus strain SAG 39.81,Scenedesmus maximus ,,,,maximus,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.02022462,4
491,"Chlorella vulgaris strain UTEX 259, UMACC 248",,,"UTEX 259, UMACC 248",,vulgaris,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,1.900448191,1
492,Chlorella vulgaris strain UMACC 001,,,UMACC 001,,vulgaris,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,1.900448191,1
493,Phormidium simplicissimum,Oscillatoria simplicissima,,,,simplicissimum,Phormidium,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.128404632,3
495,"Pelagomonas calceolata strain RCC879, Biosope_45 B2E",,,"RCC879, Biosope_45 B2E",,calceolata,Pelagomonas,Pelagomonadaceae,Pelagomonadales,Pelagophyceae,Ochrophyta,Chromista,Eukaryota,1.15036202,1
496,Acutodesmus obliquus,Scenedesmus acutus,,,,obliquus,Acutodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1.549968865,2
497,"Desmodesmus quadricaudatus strain A 119, Greifswald/15",Scenedesmus quadricauda,,"A 119, Greifswald/15",,quadricaudatus,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.184715756,2
498,Raphidocelis subcapitata,Selenastrum capricornutum,,,,subcapitata,Raphidocelis,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1.333930102,4
499,Microcystis viridis strain N-1,,,N-1,,viridis,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.631033705,3
500,Microcystis aeruginosa strain NIES 102,,,NIES 102,,aeruginosa,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.484755387,1
501,Microcystis aeruginosa strain K-5,,,K-5,,aeruginosa,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.484755387,1
502,Microcystis aeruginosa strain K-3A,,,K-3A,,aeruginosa,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,1.484755387,1
503,Anabaena ucrainica strain LBRI 47,,,LBRI 47,,ukrainica,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,2.15399188,3
506,Monoraphidium contortum,,,,,contortum,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,1.329719141,1
