ORGANISM_ID	TERM
10511	Host
10540	Host
11324	Host
26669	Soil
15605	Aquatic
1989	Human intestinal microflora
1989	Host
2028	Host
30668	Fresh water
30668	Aquatic
30815	Wastewater
30815	Sludge
27579	Soil
27603	Host
1235	Soil
1271	Marine
1282	Marine
1282	Aquatic
2060	Nasopharyngeal microflora
2060	Host
2072	Host
2080	Soil
2136	Fresh water
2137	Human skin
2137	Host
2180	Host
2180	Fresh water
2220	Host
2227	Host
2234	Host
1301	Marine
1313	Host
1319	Host
1369	Marine
1417	Human intestinal microflora
1417	Host
1433	Fresh water
1443	Host
1443	Fresh water
1463	Host
1463	Fresh water
6030	Host
6079	Human vaginal microflora
6079	Human oral cavity
6079	Host
6846	Host
6872	Vagina
6872	Host
6900	Host
6903	Respiratory tract
6903	Human airways
6903	Host
6965	Host
7033	Human intestinal microflora
7033	Host
21661	Gastrointestinal tract
17852	Soil
17922	Aquatic
6130	Host
6138	Marine
6138	Aquatic
6238	Human skin
6238	Host
6242	Wastewater
6242	Sludge
6242	Host
6300	Fresh water
6391	Human oral cavity
6391	Host
6394	Human sputum
6394	Human
6394	Host
6394	Gastrointestinal tract
7054	Human intestinal microflora
7054	Host
7057	Human intestinal microflora
7057	Host
11545	Host
11557	Host
26810	Soil
26840	Aquatic
26945	Soil
23047	Host
10659	Human stomach
10659	Host
10661	Human stomach
10661	Host
10663	Human stomach
10663	Host
10701	Host
10701	Fresh water
10728	Host
10728	Fresh water
10752	Host
10754	Host
10814	Human stomach
10814	Host
10831	Human stomach
10831	Host
11657	Host
15747	Host
15747	Bovine rumen
30893	Soil
30903	Air
31011	Soil
31015	Fresh water
31015	Aquatic
31122	Ponds
31122	Fresh water
31122	Aquatic
35408	Host
27790	Aquatic
27805	Soil
27949	Soil
16484	Soil
16484	Plant root
16550	Intestinal tract
3380	Host
4584	Host
8842	Skin
8842	Human skin
8842	Host
8842	Fresh water
8849	Host
8852	Endosymbiont
8862	Host
8973	Human intestinal microflora
8973	Host
9818	Soil
9818	Root nodule
9818	Plant root
9818	Host
9836	Human intestinal microflora
9836	Human fecal
9836	Host
9848	Soil
9848	Root nodule
9848	Plant root
9848	Host
9938	Host
13968	Sediment
13968	Fresh water
13968	Aquatic
13987	Saline water
13987	Aquatic
33260	Built environment
33307	Human
33307	Host
3504	Human intestinal microflora
3504	Host
3504	Gastrointestinal tract
3504	Feces
3509	Host
3541	Host
3541	Gastrointestinal tract
3541	Feces
3555	Host
3654	Oil fields
3688	Hot spring
3688	Aquatic
8998	Host
9027	Host
13248	Soil
13280	Hot spring
13280	Aquatic
13331	Sea water
13331	Lab enrichment
13989	Sea water
13989	Marine
13989	Aquatic
14019	Plants
14019	Aquatic
14039	Mine
665	Soil
33446	Soil
3702	Host
3749	Host
7996	Urogenital tract
7996	Human
7996	Host
8035	Human intestinal microflora
8035	Host
8037	Human intestinal microflora
8037	Host
8102	Host
8134	Host
8135	Host
8170	Host
13358	Human
13358	Host
13359	Pig
13359	Host
13396	Fresh water
13396	Aquatic
13413	Human
13413	Host
13419	Soil
34	Sediment
34	Fresh water
34	Aquatic
37	Host
691	Host
693	Hot spring
693	Fresh water
693	Aquatic
704	Soil
704	Host
737	Host
795	Soil
795	Fresh water
825	Host
886	Human intestinal microflora
886	Host
886	Gastrointestinal tract
886	Feces
888	Human intestinal microflora
888	Host
888	Gastrointestinal tract
888	Feces
33611	Host
33771	Plant root
33771	Host
8218	Human intestinal microflora
8218	Host
8249	Human intestinal microflora
8249	Host
12340	Marine
12340	Aquatic
12345	Soil
12345	Root nodule
12345	Plant root
12345	Host
12380	Bioreactor
12425	Root nodule
51	Fresh water
54	Soil
54	Host
112	Host
116	Sediment
116	Marine
129	Host
130	Host
139	Host
155	Wastewater
155	Sludge
899	Human intestinal microflora
899	Host
899	Gastrointestinal tract
899	Feces
5410	Human intestinal microflora
5410	Host
5424	Human oral cavity
5424	Host
5478	Human skin
5478	Human airways
5478	Host
5503	Human skin
5503	Host
5515	Host
5525	Human airways
5525	Host
5572	Human intestinal microflora
5572	Host
5591	Human intestinal microflora
5591	Human fecal
5591	Host
5591	Gastrointestinal tract
5591	Feces
12524	Oral cavity
12559	Host
4585	Host
4596	Soil
4596	Host
4615	Human oral cavity
4615	Host
4660	Soil
4660	Human intestinal microflora
4660	Host
4687	Sea water
4687	Marine
4687	Aquatic
4695	Human oral cavity
4695	Host
4748	Wastewater
4748	Sludge
4800	Ectomycorrhizal
14286	Root nodule
14286	Host
923	Host
939	Soil
959	Host
34117	Sea water
34117	Marine
34117	Aquatic
16806	Plants
16997	Host
3770	Soil
3770	Host
3776	Soil
3851	Marine
3851	Aquatic
3854	Host
4812	Host
4859	Soil
9069	Host
9081	Host
9131	Host
9133	Host
9153	Host
9179	Host
9213	Host
9222	Host
5595	Human skin
5595	Host
5639	Human intestinal microflora
5639	Host
10056	Soil
10056	Hot spring
10056	Fresh water
7414	Host
10176	Soil
10176	Host
10176	Fresh water
10187	Soil
10187	Host
10187	Fresh water
34297	Host
3863	Host
3892	Soil
3892	Root nodule
3892	Rhizosphere
3892	Plant root
3892	Host
3956	Termite gut
3956	Host
4017	Solar saltern
4017	Ponds
4017	Fresh water
4017	Aquatic
4105	Host
4116	Host
8408	Human stomach
8408	Host
9242	Soil
9242	Host
9242	Fresh water
9242	Food
9303	Host
9304	Host
9337	Human airways
9337	Host
13434	Human intestinal microflora
13434	Human feces
13434	Human
13434	Host
13434	Gastrointestinal tract
13434	Feces
13502	Mat
13502	Lake
13502	Aquatic
13520	Host
13520	Aquatic
13520	Acid mine drainage
10202	Soil
10202	Host
10202	Fresh water
10258	Wastewater
10274	Host
10277	Human stomach
10277	Host
14183	Human
14183	Host
14195	Estuaries
14195	Aquatic
14229	Lab enrichment
16114	Fresh water
16114	Aquatic
16174	Fresh water
16174	Aquatic
8423	Soil
8423	Intestinal tract
8423	Host
8423	Fresh water
8423	Food
8584	Human airways
8584	Host
8587	Human stomach
8587	Host
8595	Soil
8596	Human intestinal microflora
8596	Host
13523	Food
13551	Sediment
13551	Aquatic
13558	Host
13558	Bovine
13570	Sediment
13570	Salt mine
194	Terrestrial
194	Soil
194	Host
195	Host
35231	Sludge
2668	Ectomycorrhizal
8673	Fresh water
12575	Oral cavity
12648	Oral cavity
12777	Mouse Gut
12777	Human intestinal microflora
12777	Human fecal
12777	Host
12777	Gastrointestinal tract
12777	Animal gastrointestinal tract
221	Mud
